diag;nb;categ;nb_categ;ponderation
S2680;1457;S26;5408;26,9
J060;161;J06;2423;6,6
Q973;32;Q97;132;24,2
W1491;6;W14;1243;0,5
Z081;3286;Z08;112023;2,9
C542;1776;C54;118086;1,5
T433;6262;T43;32643;19,2
W9400;13;W94;299;4,3
N63;1818;N63;1818;100,0
T594;196;T59;2132;9,2
P591;132;P59;75781;0,2
M174;916;M17;202228;0,5
X47083;2;X47;1900;0,1
E831;16188;E83;181982;8,9
W0330;120;W03;878;13,7
W3303;4;W33;127;3,1
Z433;17926;Z43;74483;24,1
G508;414;G50;6298;6,6
W6931;1;W69;291;0,3
F503;782;F50;62007;1,3
C964;230;C96;3732;6,2
Z236;6;Z23;15463;0,0
J981;76969;J98;124854;61,6
R840;11;R84;494;2,2
T8609;202;T86;33727;0,6
G118;627;G11;9268;6,8
F021;75;F02;26783;0,3
P3629;251;P36;12770;2,0
D075;880;D07;2576;34,2
Q170;177;Q17;10975;1,6
Z6028;13169;Z60;636952;2,1
W6481;2;W64;485;0,4
O291;3;O29;140;2,1
Z888;31061;Z88;115468;26,9
R191;85;R19;69601;0,1
N330;56;N33;441;12,7
M1030;493;M10;66522;0,7
T381;334;T38;3570;9,4
M8789;2;M87;10803;0,0
A152;479;A15;6382;7,5
Y350;16;Y35;336;4,8
Y054;62;Y05;1008;6,2
Y582;2;Y58;447;0,4
J668;100;J66;171;58,5
E649;25;E64;158;15,8
O240;6083;O24;173104;3,5
W4614;1;W46;26;3,8
T904;959;T90;6177;15,5
F134;44;F13;10959;0,4
J438;25223;J43;93388;27,0
R398;1283;R39;258167;0,5
W1351;1;W13;4677;0,0
X4003;1;X40;1238;0,1
V5352;1;V53;54;1,9
X048;62;X04;850;7,3
N340;253;N34;1519;16,7
Z8009;7473;Z80;224878;3,3
M0682;3;M06;82822;0,0
W939;16;W93;30;53,3
S131;1346;S13;4438;30,3
I770;14637;I77;51426;28,5
W5219;1;W52;30;3,3
K090;1390;K09;5089;27,3
G934;10984;G93;111107;9,9
W26829;1;W26;7450;0,0
X1981;1;X19;576;0,2
X8398;102;X83;1019;10,0
R4700;46693;R47;228760;20,4
V2291;1;V22;345;0,3
Q106;38;Q10;1396;2,7
O078;55;O07;3096;1,8
M7966;19917;M79;143002;13,9
S268;269;S26;5408;5,0
E041;19549;E04;50668;38,6
Q978;14;Q97;132;10,6
B209;156;B20;3551;4,4
X037;2;X03;109;1,8
V9601;4;V96;300;1,3
Z76800;10293;Z76;66004;15,6
F3231;539;F32;240419;0,2
W759;1;W75;14;7,1
T592;3;T59;2132;0,1
F051;30853;F05;122377;25,2
U0710;103144;U07;201384;51,2
X47214;2;X47;1900;0,1
E8358;65088;E83;181982;35,8
C061;603;C06;13795;4,4
Z103;33;Z10;160;20,6
C512;239;C51;11313;2,1
V742;1;V74;6;16,7
W693;2;W69;291;0,7
I509;122365;I50;815712;15,0
T226;57;T22;5372;1,1
T175;1205;T17;5630;21,4
A65;9;A65;9;100,0
T184;1213;T18;13178;9,2
H948;37;H94;76;48,7
X4248;1;X42;1777;0,1
F02832;76;F02;26783;0,3
