diag;nb;categ;nb_categ;ponderation
T600;81;T60;307;26,4
E248;1643;E24;6174;26,6
M702;336;M70;9393;3,6
W1358;3;W13;4677;0,1
W5513;5;W55;5997;0,1
K902;18;K90;12967;0,1
Y340;6;Y34;590;1,0
W2504;50;W25;3610;1,4
W1768;4;W17;11678;0,0
M0621;140;M06;82822;0,2
W3162;21;W31;1826;1,2
J953;155;J95;20899;0,7
F013;3557;F01;53534;6,6
V8671;1;V86;751;0,1
E030;222;E03;346264;0,1
A041;677;A04;45014;1,5
Q796;5909;Q79;8636;68,4
H264;898;H26;212406;0,4
Q241;294;Q24;6688;4,4
Z8719;5409;Z87;176912;3,1
N998;1881;N99;14741;12,8
F314;3972;F31;65410;6,1
X9941;3;X99;3054;0,1
M7919;793;M79;143002;0,6
I988;152;I98;28186;0,5
J158;31119;J15;192312;16,2
W1904;2336;W19;169018;1,4
B965;67299;B96;774139;8,7
R202;57695;R20;95484;60,4
V8879;2;V88;36;5,6
U822+0;45500;U82;141385;32,2
M4389;169;M43;27168;0,6
M608;1496;M60;13745;10,9
M493;11;M49;10612;0,1
V926;1;V92;28;3,6
S4200;21997;S42;96500;22,8
X47249;1;X47;1900;0,1
X8419;9;X84;2488;0,4
C383;4856;C38;11614;41,8
C449;9568;C44;208787;4,6
X096;4;X09;1183;0,3
Z133;2254;Z13;637270;0,4
D129;3131;D12;566595;0,6
V4469;44;V44;959;4,6
F910;645;F91;8840;7,3
S408;2135;S40;22713;9,4
M9048;27;M90;11738;0,2
M232;4087;M23;152086;2,7
H163;3696;H16;11012;33,6
I201;2410;I20;100818;2,4
F028;5424;F02;26783;20,3
K229;102;K22;149189;0,1
O355;267;O35;17536;1,5
M8647;653;M86;61785;1,1
M8094;33;M80;66944;0,0
S141;1561;S14;3078;50,7
S252;86;S25;2850;3,0
W5909;2;W59;163;1,2
W010;49242;W01;116842;42,1
H403;198;H40;77571;0,3
M1013;1;M10;66522;0,0
L571;4;L57;10461;0,0
M8736;98;M87;10803;0,9
P269;97;P26;455;21,3
M008;302;M00;43474;0,7
N202;15453;N20;188936;8,2
O644;1500;O64;22613;6,6
W0489;4;W04;872;0,5
M0845;1;M08;7126;0,0
M6286;586;M62;68603;0,9
X514;6;X51;962;0,6
W6029;2;W60;352;0,6
I280;442;I28;3094;14,3
E241;45;E24;6174;0,7
C785;7362;C78;1216975;0,6
W135;7;W13;4677;0,1
W5598;25;W55;5997;0,4
X9808;1;X98;18;5,6
M924;103;M92;1009;10,2
W2502;5;W25;3610;0,1
W1772;11;W17;11678;0,1
M069;24079;M06;82822;29,1
G635;784;G63;100434;0,8
Y262;2;Y26;56;3,6
F01312;229;F01;53534;0,4
W5299;1;W52;30;3,3
V5949;3;V59;47;6,4
X88199;1;X88;25;4,0
W26022;1;W26;7450;0,0
T805;98;T80;97021;0,1
T443;419;T44;3008;13,9
Z8783;1050;Z87;176912;0,6
N994;1223;N99;14741;8,3
F310;1842;F31;65410;2,8
V9738;1;V97;174;0,6
M7945;1;M79;143002;0,0
D899;67;D89;14262;0,5
V214;33;V21;89;37,1
W2792;61;W27;832;7,3
B962;380108;B96;774139;49,1
V4360;2;V43;5347;0,0
V887;1;V88;36;2,8
U828+1;364;U82;141385;0,3
M4309;6;M43;27168;0,0
M609;959;M60;13745;7,0
C154;17802;C15;116341;15,3
V9280;3;V92;28;10,7
S4211;30;S42;96500;0,0
X47008;4;X47;1900;0,2
N130;11802;N13;124623;9,5
W0349;12;W03;878;1,4
C441;12639;C44;208787;6,1
N0170;150;N01;761;19,7
Z138;28538;Z13;637270;4,5
H839;6;H83;1852;0,3
Y526;748;Y52;17720;4,2
F918;4362;F91;8840;49,3
L563;8;L56;312;2,6
M9044;2;M90;11738;0,0
M235;1923;M23;152086;1,3
H169;619;H16;11012;5,6
G734;8;G73;2060;0,4
F0240;4;F02;26783;0,0
K220;10389;K22;149189;7,0
W344;19;W34;202;9,4
M8669;66;M86;61785;0,1
M8017;1;M80;66944;0,0
S145;31;S14;3078;1,0
S255;143;S25;2850;5,0
H662;136;H66;18062;0,8
W0153;9;W01;116842;0,0
H400;3899;H40;77571;5,0
M1005;16;M10;66522;0,0
B909;3538;B90;4112;86,0
V6852;17;V68;105;16,2
T134;21;T13;550;3,8
M0029;5;M00;43474;0,0
N201;84047;N20;188936;44,5
Y012;2;Y01;21;9,5
W0499;26;W04;872;3,0
M0844;1;M08;7126;0,0
M62858;148;M62;68603;0,2
X5149;15;X51;962;1,6
K829;115;K82;17726;0,6
I289;31;I28;3094;1,0
E242;342;E24;6174;5,5
M7032;2220;M70;9393;23,6
M688;110;M68;164;67,1
W5538;3;W55;5997;0,1
K903;664;K90;12967;5,1
M923;7;M92;1009;0,7
W2539;1;W25;3610;0,0
W1763;8;W17;11678;0,1
M0697;234;M06;82822;0,3
W3112;3;W31;1826;0,2
V4109;1;V41;33;3,0
F01010;9;F01;53534;0,0
V3758;1;V37;30;3,3
V5999;4;V59;47;8,5
X884;2;X88;25;8,0
W26091;3;W26;7450;0,0
T808;14389;T80;97021;14,8
T441;13;T44;3008;0,4
V182;359;V18;8313;4,3
Q435;108;Q43;17395;0,6
F3130;1066;F31;65410;1,6
V9728;7;V97;174;4,0
M7920;300;M79;143002;0,2
D890;2479;D89;14262;17,4
V210;6;V21;89;6,7
W1918;956;W19;169018;0,6
B960;2464;B96;774139;0,3
V4302;2;V43;5347;0,0
V8889;1;V88;36;2,8
U829+0;453;U82;141385;0,3
M4390;6;M43;27168;0,0
X6959;2;X69;2995;0,1
M4910;1;M49;10612;0,0
V9259;1;V92;28;3,6
S4241;727;S42;96500;0,8
X47434;1;X47;1900;0,1
W1178;1;W11;8307;0,0
W0382;1;W03;878;0,1
C446;14597;C44;208787;7,0
F1141;11;F11;37863;0,0
Z132;2819;Z13;637270;0,4
H830;815;H83;1852;44,0
V445;365;V44;959;38,1
F911;1354;F91;8840;15,3
L568;29;L56;312;9,3
M9087;8;M90;11738;0,1
M2315;69;M23;152086;0,0
B447;219;B44;13718;1,6
E168;197;E16;43307;0,5
F02300;985;F02;26783;3,7
K228;24108;K22;149189;16,2
W341;2;W34;202;1,0
M8629;7;M86;61785;0,0
I1329;5036;I13;19331;26,1
H488;281;H48;1619;17,4
S251;174;S25;2850;6,1
W5972;1;W59;163;0,6
D2138;302;D21;10818;2,8
Q800;28;Q80;557;5,0
M1092;314;M10;66522;0,5
T355;7;T35;27;25,9
M8727;53;M87;10803;0,5
T135;5;T13;550;0,9
M0012;5;M00;43474;0,0
H471;5057;H47;9679;52,2
O641;7010;O64;22613;31,0
W0498;10;W04;872;1,1
M0886;61;M08;7126;0,9
M62850;166;M62;68603;0,2
W0918;2;W09;1148;0,2
W6098;10;W60;352;2,8
F61+0;183;F61;455;40,2
E244;13;E24;6174;0,2
C788;21319;C78;1216975;1,8
W1369;4;W13;4677;0,1
W404;3;W40;168;1,8
J620;4;J62;1808;0,2
M928;111;M92;1009;11,0
W2542;8;W25;3610;0,2
F711;2232;F71;5625;39,7
M0607;73;M06;82822;0,1
W3130;4;W31;1826;0,2
K109;16;K10;5903;0,3
F01340;117;F01;53534;0,2
V376;1;V37;30;3,3
E033;48;E03;346264;0,0
X880;3;X88;25;12,0
W26983;1;W26;7450;0,0
Z025;460;Z02;6098;7,5
T440;15;T44;3008;0,5
V1890;103;V18;8313;1,2
Q430;1099;Q43;17395;6,3
I830;12204;I83;190583;6,4
V9709;3;V97;174;1,7
M7970;11760;M79;143002;8,2
A748;192;A74;350;54,9
Y1499;32;Y14;379;8,4
W2763;2;W27;832;0,2
A507;7;A50;252;2,8
V4309;34;V43;5347;0,6
F55+4;3;F55;704;0,4
S200;2786;S20;22410;12,4
M4326;15;M43;27168;0,1
M6097;11;M60;13745;0,1
M4903;2;M49;10612;0,0
V924;1;V92;28;3,6
S717;372;S71;5208;7,1
X4704;10;X47;1900;0,5
X8499;218;X84;2488;8,8
W0301;11;W03;878;1,3
C447;14333;C44;208787;6,9
H524;1055;H52;8581;12,3
Z1351;567602;Z13;637270;89,1
V173;16;V17;575;2,8
V4494;2;V44;959;0,2
U129;294;U12;294;100,0
L569;2;L56;312;0,6
M9030;15;M90;11738;0,1
M2380;1845;M23;152086;1,2
B308;178;B30;804;22,1
I200;46330;I20;100818;46,0
F02000;31;F02;26783;0,1
N036;188;N03;5141;3,7
W3431;1;W34;202;0,5
M8695;2120;M86;61785;3,4
M8009;651;M80;66944;1,0
S140;735;S14;3078;23,9
S259;94;S25;2850;3,3
W5904;1;W59;163;0,6
W0110;96;W01;116842;0,1
Q801;27;Q80;557;4,8
M1099;11127;M10;66522;16,7
B908;203;B90;4112;4,9
M8716;13;M87;10803;0,1
P260;12;P26;455;2,6
M0021;311;M00;43474;0,7
N209;1200;N20;188936;0,6
O645;587;O64;22613;2,6
W0438;1;W04;872;0,1
M0820;709;M08;7126;9,9
M6240;170;M62;68603;0,2
W0939;4;W09;1148;0,3
W601;3;W60;352;0,9
F61+1;16;F61;455;3,5
E243;131;E24;6174;2,1
M701;13;M70;9393;0,1
W1398;39;W13;4677;0,8
W556;3;W55;5997;0,1
X9804;1;X98;18;5,6
C248;1314;C24;23307;5,6
W2599;907;W25;3610;25,1
W1741;11;W17;11678;0,1
M0683;63;M06;82822;0,1
W3152;1;W31;1826;0,1
J958;7670;J95;20899;36,7
F0122;31;F01;53534;0,1
V3750;1;V37;30;3,3
V599;9;V59;47;19,1
X8882;1;X88;25;4,0
D307;4;D30;8739;0,0
Z029;104;Z02;6098;1,7
T445;18;T44;3008;0,6
Z8788;1151;Z87;176912;0,7
S943;46;S94;312;14,7
X1089;4;X10;3104;0,1
V9702;1;V97;174;0,6
M7984;104;M79;143002;0,1
V1439;1;V14;158;0,6
Y149;88;Y14;379;23,2
W1994;33;W19;169018;0,0
B9681;26227;B96;774139;3,4
V4328;4;V43;5347;0,1
F55+9;14;F55;704;2,0
S202;16194;S20;22410;72,3
M4395;4;M43;27168;0,0
M6005;2460;M60;13745;17,9
M4937;1;M49;10612;0,0
V928;4;V92;28;14,3
S4291;7;S42;96500;0,0
X474+4;1;X47;1900;0,1
W116;168;W11;8307;2,0
L234;19;L23;5159;0,4
V8710;1;V87;265;0,4
X0929;1;X09;1183;0,1
E41;1327;E41;1327;100,0
D123;85406;D12;566595;15,1
V4462;2;V44;959;0,2
F913;924;F91;8840;10,5
L564;62;L56;312;19,9
M9078;4486;M90;11738;38,2
M2335;1908;M23;152086;1,3
H161;719;H16;11012;6,5
I208;43750;I20;100818;43,4
F0282;251;F02;26783;0,9
K224;1627;K22;149189;1,1
O353;1693;O35;17536;9,7
M8610;60;M86;61785;0,1
M8018;21;M80;66944;0,0
V3859;14;V38;67;20,9
K123;22416;K12;34233;65,5
W594;2;W59;163;1,2
S649;26;S64;41107;0,1
H409;29999;H40;77571;38,7
M1016;1;M10;66522;0,0
B900;131;B90;4112;3,2
M8717;5;M87;10803;0,0
T139;43;T13;550;7,8
B222;171;B22;1064;16,1
H472;1018;H47;9679;10,5
O649;32;O64;22613;0,1
W0401;7;W04;872;0,8
M083;240;M08;7126;3,4
M6267;1;M62;68603;0,0
X518;599;X51;962;62,3
W600;39;W60;352;11,1
T604;101;T60;307;32,9
B059;145;B05;280;51,8
C784;3614;C78;1216975;0,3
W1372;3;W13;4677;0,1
W5504;88;W55;5997;1,5
X9894;1;X98;18;5,6
Y346;1;Y34;590;0,2
W2562;32;W25;3610;0,9
W1730;132;W17;11678;1,1
M0628;11;M06;82822;0,0
W3183;2;W31;1826;0,1
Y2600;3;Y26;56;5,4
F01321;95;F01;53534;0,2
V370;4;V37;30;13,3
P243;127;P24;15679;0,8
A049;732;A04;45014;1,6
W26008;152;W26;7450;2,0
Z021;2;Z02;6098;0,0
S999;67;S99;563;11,9
Z8701;3723;Z87;176912;2,1
S948;124;S94;312;39,7
X1029;1;X10;3104;0,0
V973;3;V97;174;1,7
M7903;16;M79;143002;0,0
V149;37;V14;158;23,4
J154;4543;J15;192312;2,4
W1990;147;W19;169018;0,1
A500;29;A50;252;11,5
V434;9;V43;5347;0,2
F55+0;38;F55;704;5,4
E730;13;E73;1549;0,8
M4329;10;M43;27168;0,0
M6026;108;M60;13745;0,8
M4988;9;M49;10612;0,1
Y404;101;Y40;23382;0,4
S4201;264;S42;96500;0,3
X47188;1;X47;1900;0,1
X844;6;X84;2488;0,2
W039;74;W03;878;8,4
Y832;39051;Y83;282211;13,8
X0952;1;X09;1183;0,1
K509;80764;K50;188343;42,9
D128;49543;D12;566595;8,7
V4409;2;V44;959;0,2
F919;1430;F91;8840;16,2
L562;9;L56;312;2,9
M9059;4;M90;11738;0,0
A490;18265;A49;67466;27,1
G512;50;G51;38038;0,1
G735;18;G73;2060;0,9
F0222;2;F02;26783;0,0
N039;781;N03;5141;15,2
O352;367;O35;17536;2,1
M868;118;M86;61785;0,2
M8040;436;M80;66944;0,7
S146;14;S14;3078;0,5
S250;872;S25;2850;30,6
W5901;4;W59;163;2,5
W013;645;W01;116842;0,6
H192;547;H19;2290;23,9
M1022;2;M10;66522;0,0
O288;780;O28;13180;5,9
M8797;135;M87;10803;1,2
T133;4;T13;550;0,7
M0087;1424;M00;43474;3,3
H476;87;H47;9679;0,9
O640;11323;O64;22613;50,1
Q122;10;Q12;1653;0,6
M0831;5;M08;7126;0,1
M6282;117;M62;68603;0,2
W098;81;W09;1148;7,1
W6089;2;W60;352;0,6
F61;256;F61;455;56,3
E240;2667;E24;6174;43,2
M705;732;M70;9393;7,8
B09;432;B09;432;100,0
W5519;1;W55;5997;0,0
Y0348;1;Y03;10;10,0
M927;26;M92;1009;2,6
W2589;11;W25;3610;0,3
W170;4937;W17;11678;42,3
M0629;4;M06;82822;0,0
G634;405;G63;100434;0,4
J950;3578;J95;20899;17,1
F01101;394;F01;53534;0,7
N0409;1904;N04;23427;8,1
P241;8518;P24;15679;54,3
I730;16675;I73;22751;73,3
W2605;2;W26;7450;0,0
Z020;17;Z02;6098;0,3
Q244;293;Q24;6688;4,4
Z8781;3623;Z87;176912;2,0
N992;156;N99;14741;1,1
X100;1684;X10;3104;54,3
V9723;3;V97;174;1,7
M7911;573;M79;143002;0,4
V1490;1;V14;158;0,6
Y142;5;Y14;379;1,3
W2793;5;W27;832;0,6
B966;8364;B96;774139;1,1
V4350;1;V43;5347;0,0
Z320;121;Z32;3264;3,7
U82180;6303;U82;141385;4,5
M4308;2;M43;27168;0,0
M6011;1;M60;13745;0,0
M4959;224;M49;10612;2,1
Y406;325;Y40;23382;1,4
S4240;12027;S42;96500;12,5
D446;189;D44;12728;1,5
W1189;34;W11;8307;0,4
L233;529;L23;5159;10,3
V8779;5;V87;265;1,9
X0901;2;X09;1183;0,2
A259;4;A25;8;50,0
D126+2;69;D12;566595;0,0
V4493;1;V44;959;0,1
B973;14;B97;57120;0,0
L560;47;L56;312;15,1
M9015;2;M90;11738;0,0
M2329;7739;M23;152086;5,1
B449;1264;B44;13718;9,2
I209;8328;I20;100818;8,3
F02032;9;F02;26783;0,0
N0339;55;N03;5141;1,1
F640;7020;F64;7929;88,5
M861;442;M86;61785;0,7
M8055;409;M80;66944;0,6
V3831;1;V38;67;1,5
K122;5647;K12;34233;16,5
H664;871;H66;18062;4,8
D2130;46;D21;10818;0,4
Q804;5;Q80;557;0,9
M1029;34;M10;66522;0,1
O285;1253;O28;13180;9,5
M8707;44;M87;10803;0,4
T131;134;T13;550;24,4
A57;9;A57;9;100,0
H470;2574;H47;9679;26,6
Y018;1;Y01;21;4,8
X539;1;X53;12;8,3
M080;361;M08;7126;5,1
M62890;19863;M62;68603;29,0
X5103;2;X51;962;0,2
W609;64;W60;352;18,2
P159;46;P15;2432;1,9
B052;59;B05;280;21,1
C782;80860;C78;1216975;6,6
Y574;18;Y57;12171;0,1
W5568;1;W55;5997;0,0
K904;3257;K90;12967;25,1
Y348;30;Y34;590;5,1
W258;147;W25;3610;4,1
W1791;56;W17;11678;0,5
M0694;474;M06;82822;0,6
W3108;4;W31;1826;0,2
J952;3074;J95;20899;14,7
F0130;1388;F01;53534;2,6
V3701;1;V37;30;3,3
P242;316;P24;15679;2,0
A046;689;A04;45014;1,5
W26823;2;W26;7450;0,0
N738;669;N73;10745;6,2
T442;4;T44;3008;0,1
V1811;7;V18;8313;0,1
N993;164;N99;14741;1,1
X1088;17;X10;3104;0,5
V9783;1;V97;174;0,6
M7963;1251;M79;143002;0,9
V1499;4;V14;158;2,5
Y1498;3;Y14;379;0,8
W196;76;W19;169018;0,0
A504;1;A50;252;0,4
G472;5351;G47;684227;0,8
Q359;627;Q35;2334;26,9
U822+1;27600;U82;141385;19,5
M4311;1;M43;27168;0,0
M6010;53;M60;13745;0,4
T245;2;T24;5922;0,0
Q053;132;Q05;4920;2,7
J931;12287;J93;29912;41,1
X47410;1;X47;1900;0,1
W1193;30;W11;8307;0,4
C388;434;C38;11614;3,7
V873;1;V87;265;0,4
N014;77;N01;761;10,1
K500;38344;K50;188343;20,4
D122;128355;D12;566595;22,7
V4458;58;V44;959;6,0
Q858;1690;Q85;9394;18,0
S407;1015;S40;22713;4,5
M9085;18;M90;11738;0,2
A492;415;A49;67466;0,6
J91;158514;J91;158514;100,0
E169;641;E16;43307;1,5
F0241;2;F02;26783;0,0
K222;20161;K22;149189;13,5
S311;3156;S31;9231;34,2
M8617;9430;M86;61785;15,3
I1301;408;I13;19331;2,1
S142;78;S14;3078;2,5
S253;94;S25;2850;3,3
W599;63;W59;163;38,7
W0172;12;W01;116842;0,0
H814;4843;H81;74329;6,5
M1049;75;M10;66522;0,1
M328;3638;M32;25507;14,3
V3658;1;V36;3;33,3
T138;63;T13;550;11,5
D561;10854;D56;15961;68,0
N200;88236;N20;188936;46,7
Y0109;1;Y01;21;4,8
Q124;12;Q12;1653;0,7
M0847;7;M08;7126;0,1
M6265;1;M62;68603;0,0
X5104;4;X51;962;0,4
W6088;2;W60;352;0,6
P152;135;P15;2432;5,6
Q200;438;Q20;6390;6,9
M7089;3;M70;9393;0,0
Y575;4735;Y57;12171;38,9
W5591;15;W55;5997;0,3
X9812;1;X98;18;5,6
M926;393;M92;1009;38,9
W2598;91;W25;3610;2,5
W1713;1;W17;11678;0,0
M0691;282;M06;82822;0,3
W3102;8;W31;1826;0,4
K102;4338;K10;5903;73,5
F0193;141;F01;53534;0,3
N041;4316;N04;23427;18,4
P240;4867;P24;15679;31,0
A048;3416;A04;45014;7,6
W26901;1;W26;7450;0,0
N732;150;N73;10745;1,4
Q240;270;Q24;6688;4,0
Z8710;680;Z87;176912;0,4
S942;119;S94;312;38,1
Z613;295;Z61;12658;2,3
V9722;8;V97;174;4,6
T549;233;T54;2434;9,6
V143;5;V14;158;3,2
J152;14997;J15;192312;7,8
W1923;6;W19;169018;0,0
Q158;123;Q15;1693;7,3
V4308;20;V43;5347;0,4
Q351;351;Q35;2334;15,0
S204;916;S20;22410;4,1
M4392;6;M43;27168;0,0
M600;829;M60;13745;6,0
C158;5021;C15;116341;4,3
Y400;8575;Y40;23382;36,7
J930;1846;J93;29912;6,2
X4731;1;X47;1900;0,1
W114;8;W11;8307;0,1
W0399;31;W03;878;3,5
V8792;1;V87;265;0,4
X0972;1;X09;1183;0,1
K508;49680;K50;188343;26,4
V1701;20;V17;575;3,5
V4451;1;V44;959;0,1
Q850;5516;Q85;9394;58,7
X790;155;X79;305;50,8
M9011;7;M90;11738;0,1
M2311;5;M23;152086;0,0
W9088;1;W90;73;1,4
G732;90;G73;2060;4,4
F02010;1;F02;26783;0,0
N032;515;N03;5141;10,0
S317;281;S31;9231;3,0
M8642;60;M86;61785;0,1
M8000;3874;M80;66944;5,8
V3899;2;V38;67;3,0
D642;1000;D64;316837;0,3
W5900;20;W59;163;12,3
W0109;9639;W01;116842;8,2
Q809;246;Q80;557;44,2
M1033;42;M10;66522;0,1
M320;243;M32;25507;1,0
M8737;87;M87;10803;0,8
B573;4;B57;16;25,0
B220;462;B22;1064;43,4
W7309;1;W73;21;4,8
Y014;3;Y01;21;14,3
Q120;1536;Q12;1653;92,9
M0802;10;M08;7126;0,1
M6224;118;M62;68603;0,2
W0938;7;W09;1148;0,6
W608;7;W60;352;2,0
P156;20;P15;2432;0,8
Q208;688;Q20;6390;10,8
M7088;19;M70;9393;0,2
Y570;75;Y57;12171;0,6
W4092;1;W40;168;0,6
Y032;1;Y03;10;10,0
Y342;64;Y34;590;10,8
Q828;1919;Q82;6840;28,1
F710;1277;F71;5625;22,7
M0626;6;M06;82822;0,0
W3193;1;W31;1826;0,1
Y2669;1;Y26;56;1,8
F01030;89;F01;53534;0,2
V3769;2;V37;30;6,7
P249;225;P24;15679;1,4
A044;1724;A04;45014;3,8
W268+2;180;W26;7450;2,4
C800;33734;C80;33734;100,0
T448;62;T44;3008;2,1
Z8700;1328;Z87;176912;0,8
Z303;151;Z30;339918;0,0
Z614;2253;Z61;12658;17,8
V9708;1;V97;174;0,6
M792;468;M79;143002;0,3
V142;1;V14;158;0,6
V215;5;V21;89;5,6
P90;1865;P90;1865;100,0
Q150;1555;Q15;1693;91,8
A829;4;A82;4;100,0
Q357;123;Q35;2334;5,3
S208;871;S20;22410;3,9
M4352;5;M43;27168;0,0
M6025;265;M60;13745;1,9
T241;283;T24;5922;4,8
V923;5;V92;28;17,9
J939;6929;J93;29912;23,2
X479+1;1;X47;1900;0,1
X8489;4;X84;2488;0,2
W032;91;W03;878;10,4
V8719;1;V87;265;0,4
X0948;1;X09;1183;0,1
K501;19555;K50;188343;10,4
D126+5;209;D12;566595;0,0
P570;332;P57;560;59,3
B972;4390;B97;57120;7,7
X798;6;X79;305;2,0
M9075;2630;M90;11738;22,4
N812;3023;N81;39560;7,6
R003;54;R00;147268;0,0
E164;175;E16;43307;0,4
F0224;6;F02;26783;0,0
K223;1135;K22;149189;0,8
F642;191;F64;7929;2,4
M8665;1265;M86;61785;2,0
M8043;11;M80;66944;0,0
S144;64;S14;3078;2,1
D640;272;D64;316837;0,1
B953;7599;B95;402383;1,9
W0113;10;W01;116842;0,0
Q808;154;Q80;557;27,6
L304;24146;L30;51679;46,7
L575;11;L57;10461;0,1
M8719;13;M87;10803;0,1
W3093;2;W30;480;0,4
M0024;358;M00;43474;0,8
J123;4805;J12;71618;6,7
O648;1430;O64;22613;6,3
X5304;1;X53;12;8,3
M0805;10;M08;7126;0,1
M6250;12597;M62;68603;18,4
W0913;1;W09;1148;0,1
K828;2829;K82;17726;16,0
S390;4283;S39;6699;63,9
Q201;1046;Q20;6390;16,4
M7087;5;M70;9393;0,1
Y579;4724;Y57;12171;38,8
T796;86319;T79;107110;80,6
Y034;3;Y03;10;30,0
Y349;300;Y34;590;50,8
W2563;1;W25;3610;0,0
W1720;18;W17;11678;0,2
M0617;12;M06;82822;0,0
K420;4711;K42;64083;7,4
V4108;1;V41;33;3,0
F01230;88;F01;53534;0,2
V3759;4;V37;30;13,3
P248;1626;P24;15679;10,4
X8898;1;X88;25;4,0
W26982;9;W26;7450;0,1
N736;5495;N73;10745;51,1
D020;1252;D02;3059;40,9
V1834;6;V18;8313;0,1
Q438;12884;Q43;17395;74,1
X1014;4;X10;3104;0,1
V970;3;V97;174;1,7
M7976;118;M79;143002;0,1
D892;2314;D89;14262;16,2
V2199;5;V21;89;5,6
W2788;12;W27;832;1,4
A506;4;A50;252;1,6
V4351;3;V43;5347;0,1
Q355;730;Q35;2334;31,3
K862;16044;K86;69321;23,1
M4313;36;M43;27168;0,1
M6001;117;M60;13745;0,9
M4905;42;M49;10612;0,4
Q052;547;Q05;4920;11,1
R443;10157;R44;64540;15,7
X47999;8;X47;1900;0,4
H509;3113;H50;19373;16,1
W034;45;W03;878;5,1
V871;14;V87;265;5,3
X098;75;X09;1183;6,3
A251;4;A25;8;50,0
V1741;1;V17;575;0,2
T924;157;T92;2120;7,4
B974;6516;B97;57120;11,4
X6809;12;X68;225;5,3
M9009;4;M90;11738;0,0
M234;1063;M23;152086;0,7
W909;6;W90;73;8,2
E161;9716;E16;43307;22,4
F02122;7;F02;26783;0,0
B459;44;B45;595;7,4
S314;1994;S31;9231;21,6
M8640;1;M86;61785;0,0
M8030;9;M80;66944;0,0
H333;1337;H33;33856;3,9
S2580;28;S25;2850;1,0
W5993;2;W59;163;1,2
D152;644;D15;3711;17,4
H191;618;H19;2290;27,0
M1098;1806;M10;66522;2,7
C629;12414;C62;17287;71,8
V689;8;V68;105;7,6
Q408;53;Q40;4220;1,3
M0011;30;M00;43474;0,1
W7389;2;W73;21;9,5
Y010;3;Y01;21;14,3
X531;3;X53;12;25,0
M0801;7;M08;7126;0,1
M6285;171;M62;68603;0,2
X5181;8;X51;962;0,8
W6008;10;W60;352;2,8
S396;39;S39;6699;0,6
Q209;257;Q20;6390;4,0
M7095;1;M70;9393;0,0
Y577;85;Y57;12171;0,7
W5502;15;W55;5997;0,3
D508;400264;D50;761485;52,6
M8547;4;M85;8316;0,0
Q822;1584;Q82;6840;23,2
W1742;26;W17;11678;0,2
M0633;4;M06;82822;0,0
W3118;93;W31;1826;5,1
V4101;1;V41;33;3,0
F01012;112;F01;53534;0,2
N0400;850;N04;23427;3,6
V2994;9;V29;6596;0,1
I731;1292;I73;22751;5,7
D302;140;D30;8739;1,6
T800;470;T80;97021;0,5
L589;621;L58;2107;29,5
V1892;15;V18;8313;0,2
Z308;9283;Z30;339918;2,7
X1093;1;X10;3104;0,0
V9720;23;V97;174;13,2
M7907;87;M79;143002;0,1
V140;6;V14;158;3,8
Y1488;10;Y14;379;2,6
W2718;2;W27;832;0,2
A503;3;A50;252;1,2
V4319;8;V43;5347;0,1
Q353;503;Q35;2334;21,6
K860;13430;K86;69321;19,4
M4312;534;M43;27168;2,0
C796;11485;C79;909972;1,3
M498;14;M49;10612;0,1
Q059;2574;Q05;4920;52,3
H368;1350;H36;96539;1,4
X471+0;1;X47;1900;0,1
W1118;1;W11;8307;0,0
W0388;16;W03;878;1,8
V8788;6;V87;265;2,3
N018;47;N01;761;6,2
S789;11;S78;63;17,5
V1748;33;V17;575;5,7
T922;630;T92;2120;29,7
B977;7725;B97;57120;13,5
X793;2;X79;305;0,7
E342;4;E34;6174;0,1
L410;28;L41;159;17,6
W900;4;W90;73;5,5
G733;67;G73;2060;3,3
F02332;80;F02;26783;0,3
N0389;128;N03;5141;2,5
F648;411;F64;7929;5,2
Q175;9493;Q17;10975;86,5
I1321;1205;I13;19331;6,2
A78;481;A78;481;100,0
E678;725;E67;1347;53,8
W590;15;W59;163;9,2
W0122;37;W01;116842;0,0
S2721;999;S27;71189;1,4
C882;60;C88;32616;0,2
T354;12;T35;27;44,4
M8718;123;M87;10803;1,1
W3008;23;W30;480;4,8
M0009;30;M00;43474;0,1
W7301;1;W73;21;4,8
O642;267;O64;22613;1,2
X5309;1;X53;12;8,3
M0881;2;M08;7126;0,0
M6230;60;M62;68603;0,1
W0930;45;W09;1148;3,9
W6081;2;W60;352;0,6
M154;134;M15;10425;1,3
Q204;1153;Q20;6390;18,0
M700;47;M70;9393;0,5
Y576;264;Y57;12171;2,2
W5551;2;W55;5997;0,0
J65;2;J65;2;100,0
M8540;6;M85;8316;0,1
W2582;14;W25;3610;0,4
W178;884;W17;11678;7,6
M0699;15823;M06;82822;19,1
W3192;141;W31;1826;7,7
Y2609;3;Y26;56;5,4
F01941;341;F01;53534;0,6
N042;3616;N04;23427;15,4
V2958;7;V29;6596;0,1
A047;26890;A04;45014;59,7
Q792;450;Q79;8636;5,2
T804;21;T80;97021;0,0
L580;1220;L58;2107;57,9
V181;45;V18;8313;0,5
S940;5;S94;312;1,6
X1002;7;X10;3104;0,2
V9729;29;V97;174;16,7
T543;1848;T54;2434;75,9
V144;51;V14;158;32,3
V213;1;V21;89;1,1
W1998;433;W19;169018;0,3
A501;23;A50;252;9,1
